Club_ID,Number_Of_Reviews,Payment_Required,Membership_Cost,Description,Image_URL
129,1,TRUE,42,"We are a faith-based community where students can come and investigate who God is, who Jesus is, and answer some of life's big questions. We do all of this through the Latino community and culture.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
130,0,FALSE,112,"The Dirty Brushes is a club created by the students of San Jose State University's pictorial art area. The group's mission is to foster professional and creative growth, collaborate with cultural organizations on campus, and engage in community mural work. The students volunteer to serve the needs of local galleries, museums and art programs to strengthen bonds between the city of San Jose and the University.",https://pbs.twimg.com/profile_images/3733879424/39f6b44bc9558831f4cf51ba8a78879a_400x400.jpeg
131,2,FALSE,114,The Economics Club at San Jose State University is an extension of the SJSU Economics Department. Our aim is to help students reinforce the skills they learn in the classroom in order to help them succeed in a professional setting. The club will also work with local professionals and organizations to provide networking and practical services to help prepare our members for a job in the career they want. ,https://pbs.twimg.com/profile_images/1121070904/Econ_Logo_copy_400x400.jpg
132,1,TRUE,137," El Espartano Noticias is committed in informing the Spanish-speaking community at San Jose State University by covering the latest news. The news organization provides extensive coverage including articles and videos about social justice issues, technology, health, and sports all completely in Spanish. Stay well informed with our team! ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
133,1,FALSE,41,Break down cultural barriers and stigma having to do with being part of LGBT community while maintaining a dual identity. ,http://www.books-not-bombs.com/content/images/schools/sjsu.png
134,0,FALSE,125,"The purpose of this organization is to conduct research, development, and implementation of solar energy methods. Specifically to develop solar thermal water heating.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
135,2,FALSE,134,"The purpose of EWB-SJSU shall reflect and support the values and mission of Engineers Without Borders-USA: to partner with disadvantaged communities to improve their quality of life through implementation of environmentally sound and economically sustainable engineering projects, while developing internationally responsible engineering students. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
136,0,TRUE,34,"The ERC is a student run organization, connected to the department of Environmental Studies and funded by Associated Student and Transportation Solutions. The ERC has developed sustainability programs on the San Jose State University Campus.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
137,0,FALSE,61,N/A,http://www.books-not-bombs.com/content/images/schools/sjsu.png
138,1,TRUE,56,We recognize electrical and computer engineering students by providing opportunities for passionate students to apply their skills. ,http://www.books-not-bombs.com/content/images/schools/sjsu.png
139,0,FALSE,65,Film Production Society strives to provide opportunities for San Jose State students to learn from and interact with those in the film community by having workshops and official FPS student run productions two to three times a year.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
140,3,FALSE,149,"The purpose of this organization shall be: 1. Assist in the professional, educational, and social development of college students interested in finance, accounting, banking and investments. 2. Provide an association for college students actively interested in these fields. 3. Encourage interaction and a close affiliation among business executives, the finance community, faculty, and students of business and finance. 4. To further high standards of professional ethics and education in the field of finance. Mission Statement: The Financial Management Association of San Jose State University provides its members with increased knowledge of business finance through professional development opportunities and by acting as an interface between business students and finance executives within the Silicon Valley. Vision Statement: The Financial Management Association of San Jose State University aims to maintain our status as a Superior Chapter of the FMA International Organization. ",http://www.sjsu.edu/cob/pics/FMA%20Logo%2015.jpg
141,0,TRUE,41," The purpose of Food Journalism is to embrace the food and restaurants in the Bay Area to gain a greater appreciation for culture and to understand how food coincides with culture. Food is an experience that brings people together and after each outing, we will be writing a critique and review of the restaurant to be shared with San Jos State students. Our purpose in doing so is to collectively offer students suggestions for good food and restaurants in the area. We will also be promoting healthy food alternatives and will strive to bring students better access to healthier, more affordable eating. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
142,0,FALSE,87,"For the purpose of providing a forum for forensic science students to exchange information on course work, scholarships and to promote mentoring. We also facilitate contacts within the forensic science community in order to provide internships, guest speakers and future job opportunities.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
143,1,FALSE,142,To provide assistance to students. ,http://www.books-not-bombs.com/content/images/schools/sjsu.png
144,3,TRUE,93,"As we take the 4 Corners Christian Fellowship of a square inwards and bring them together, it takes on a new shape. The mission of 4 Corners Christian Fellowship is to bring together students from the corners of the world to increase our understanding of the Christian faith and increase our engagement with the world as future leaders. We believe that this mission works alongside the University's strategic plan and commitment to serve as fertile ground for a diverse and well-informed citizenry in the 21st century. It is the goal of 4 Corners Christian Fellowship to insure that its members develop a rich intellectual and philosophical basis for the Christian faith, resulting in a deeper appreciation of their own culture as well as that of others. It is our hope that our member's experience in 4 Corners Christian Fellowship will provide them with the basis for fairness and open-mindedness beyond their university years that will create synergies that will impact our global community with compassion and selfless service. It is our vision to see students go on to become the future leaders in their own corner of the world.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
145,2,FALSE,63,"The Game Development Club was created with the sole purpose of creating an environment for people to come together to learn how to develop games, meet others who enjoy developing games, and also play games for the purpose of researching ways to improve their own games. We provide many forms of inspiration and motivation for people to begin learning about game development regardless of if they had prior experience making games or not. 1. Set up competitions that create opportunities for people of different disciplines to come together and begin creating games. 2. Reach out to industry professionals that explain and elaborate on their experiences making games and also teach fundamental game making ideas. 3. Host events that help students network with their peers and professionals in the industry for the purpose of helping them form game making projects outside the club and get connected with jobs in the game industry. 4. Explore the art of game making and push video games as a form of Art.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
146,3,TRUE,56,To create unity among all Latin@ organizations on campus. 2. To work together by having events that displays our culture and creates cultural awareness. 3. To provide opportunities for networking. 4. To establish a Familia on campus by supporting each other.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
147,3,FALSE,111,The purpose of the Geography Club is to bring both faculty and students together to learn and explore further about the field of Geography. It is our goal to learn and explore through our numerous club meetings and club outings to museums and conferences. Through these actions we hope to create a welcoming and inclusive group that truly represents the ideals of the SJSU community. ,http://www.books-not-bombs.com/content/images/schools/sjsu.png
148,0,FALSE,123,The purpose of this club is to provide networking and educational opportunities and develop a community for students interested in the geosciences.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
149,1,TRUE,116,"I.D.E.A.S. at San Jose State University was formed to bring together students from different majors and backgrounds to share and collaborate on innovative ideas. Our goals are to use student’s knowledge of skills sets, interests and passion to create projects then design these projects. We use professional networking, technology, creativity, science and the tools necessary to get ideas going. We believe that there are two crucial factors in any successful idea – a well-connected team AND the required resources. Here in Silicon Valley, I.D.E.A.S. builds your dreams. ",http://www.sjsu.edu/cob/pics/ideas_logo_web.jpg
150,2,TRUE,45," Kappa Sigma's main objective is based on building a better man, while encouraging him to participate in as many other campus organizations that he may choose. More specifically, Kappa Sigma looks to provide the opportunity for the male student to enhance his fellowship circle, leadership skills, scholastic involvement, and service contribution to the local community.",https://upload.wikimedia.org/wikipedia/en/9/90/Official_Kappa_Sigma_Fraternity_Crest_2.png
151,3,FALSE,99,"The Latino Business Student Association, LBSA, is a College of Business student organization at San Jose State University that empowers its members through professional development. LBSA strives in professional and leadership development through workshops, events, strategic networking, and by building strong relationships among students, Lucas College of Business organizations, and corporate networks. Our dedicated members have a competitive edge because of the leadership opportunities and resources LBSA provides. We thrive on providing corporate networking opportunities, events on career advancement, and a diverse and fun-loving team. Our mission is to develop the next generation of Latino professionals.",http://www.sjsu.edu/cob/pics/NEW-LBSA-logo.png
152,3,FALSE,99,"The Marketing Association at San Jose State University exposes students of all majors to the exciting and ever changing world of marketing. By providing networking opportunities with industry leading professionals and colleagues, professional and personal development workshops, potential leadership involvement and community service initiatives, we aim to shape the next generation of business leaders.",http://sjsumarketing.org/wp-content/uploads/2016/01/MA-Final-Logo.png
153,2,FALSE,79,"The mission of the SJSU Management Information Systems Association is to provide a professional atmosphere for Business/MIS students to receive support from advisors, faculty and leaders, obtain academic and career advice, meet industry professionals, and network with peers in the IS field. ",http://www.sjsu.edu/cob/pics/MIS%20Logo2014.png
154,1,TRUE,116,"The purpose of our club is to encourage students to socialize and connect through Pokemon, host tournaments and various social events.",https://yt3.ggpht.com/-eglr_n_5A0M/AAAAAAAAAAI/AAAAAAAAAAA/tbY_khXjCYo/s900-c-k-no-mo-rj-c0xffffff/photo.jpg
155,1,FALSE,75,"The mission of Sigma Alpha Epsilon is to promote the highest standards of friendship, scholarship, and service for our members based upon the ideals set forth by our Founders and as specifically enunciated in ""The True Gentleman.""",http://www.sjsu.edu/getinvolved/pics/Sigma%20Alpha%20Epsilon%20flag.jpg
156,1,FALSE,128,"The purpose of the fraternity is to cultivate and maintain the high ideals of friendship, justice, and learning upon which Sigma Chi was founded. ",https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Sigma_Chi_Crest.png/200px-Sigma_Chi_Crest.png
157,0,TRUE,108,"To develop ethical leaders inspired by the tenants of Love, Honor and Truth. To foster the development of each man's mind, heart and character. To perpetuate lifelong friendship and commitment to the fraternity ",https://pbs.twimg.com/profile_images/681396291243393024/fYgPABjV.jpg
158,0,TRUE,70,"Spartan Club Baseball's main purpose is to provide a secondary source of baseball for players who do not have the opportunity to play for our NCAA team on campus, but still have the interest and urge to compete at an intercollegiate club level.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
159,2,FALSE,61," We at Theta Chi strive to mold young college men into responsible, confident adults who are motivated, well-educated, and who possess leadership skills to become successful in all our endeavors. We do this through extracurricular activities such as community service and social events with other Greeks at our house. We also give our members the opportunity to take leadership roles within our fraternity to learn organization, self-confidence, and time management skills that are essential to have in life. ",http://www.books-not-bombs.com/content/images/schools/sjsu.png
160,3,FALSE,87,NA,http://www.sjsu.edu/cob/pics/women%20in%20business%20logo.png
